benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,92.75992978293182,2.031377139026913,ops/us,8,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,112.04468564736642,3.0015610320503168,ops/us,8,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,80.02765300892598,0.8381183056404294,ops/us,8,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,79.99812843361421,0.8571482926332191,ops/us,8,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,93.02575537517806,0.8135504304242888,ops/us,8,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,96.47728186464205,1.2480909910116595,ops/us,12,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,73.87945213195579,0.8456373065140858,ops/us,12,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,78.34226055889381,0.860089350310115,ops/us,12,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,91.8208005972519,0.9790337141121411,ops/us,12,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,75.30192704985436,0.7501184477396121,ops/us,12,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,96.95544610848947,1.0925032183900183,ops/us,16,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,74.84308748581749,0.7240841982813883,ops/us,16,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,69.86082373309092,0.6008678071380433,ops/us,16,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,89.89850909123066,1.0865814430829186,ops/us,16,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,72.97685081176283,0.8782285163622641,ops/us,16,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,67.04620475688274,0.3226539246251565,ops/us,24,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,51.25152514560461,0.5522788042266863,ops/us,24,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,68.53818146957518,0.5850941753407514,ops/us,24,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,61.820592458266894,0.5588231321072435,ops/us,24,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,54.349590457888915,0.5564927864652667,ops/us,24,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010951857819928393,0.0002681453438567502,us/op,8,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.00877354948530206,0.00033644121954063994,us/op,8,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.012457756444127603,0.0001568814113949201,us/op,8,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.012539174863714727,0.0001718516442061495,us/op,8,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010654282204449255,9.784455776885311e-05,us/op,8,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010234833001800225,0.0001093870198185047,us/op,12,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013491923457154366,0.00015052106955451235,us/op,12,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.012794226864826114,0.00018243907517915398,us/op,12,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01086021503200827,0.00013642671542681852,us/op,12,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013446997102559588,0.00013787854023092862,us/op,12,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010306126492532416,0.00010457544156436791,us/op,16,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01328214609097766,0.00011634941372453561,us/op,16,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014423613132287015,0.0001522646453340893,us/op,16,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01117301333025837,0.00013603180267366056,us/op,16,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013686221239300649,0.00021248365134283602,us/op,16,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014932135929174728,9.356436858146216e-05,us/op,24,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.019495757010136564,0.00018402282611219557,us/op,24,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014656011597115796,0.0001643513467801713,us/op,24,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.016339621285607526,0.00011223355245049085,us/op,24,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.018682426243309652,0.0002005619201475832,us/op,24,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,350000,42
